ranking_date,rank,player,points,tours
20260105,280,222980,243,0
20260105,281,201610,242,0
20260105,282,214839,237,0
20260105,283,214646,237,0
20260105,284,247669,237,0
20260105,285,215614,235,0
20260105,286,213821,235,0
20260105,287,221096,233,0
20260105,288,222919,229,0
20260105,289,260598,228,0
20260105,290,259758,227,0
20260105,291,261963,226,0
20260105,292,220757,225,0
20260105,293,213734,223,0
20260105,294,204427,216,0
20260105,295,211411,215,0
20260105,296,221395,215,0
20260105,297,221768,215,0
20260105,298,260765,215,0
20260105,299,246493,215,0
20260105,300,211844,214,0
20260105,301,201614,211,0
20260105,302,232447,211,0
20260105,303,221209,211,0
20260105,304,211765,209,0
20260105,305,220432,209,0
20260105,306,214189,207,0
20260105,307,260581,207,0
20260105,308,221099,206,0
20260105,309,213789,206,0
20260105,310,215501,205,0
20260105,311,258199,204,0
20260105,312,221411,202,0
20260105,313,260203,201,0
20260105,314,220718,201,0
20260105,315,206194,200,0
20260105,316,239438,200,0
20260105,317,213949,199,0
20260105,318,203475,198,0
20260105,319,221512,197,0
20260105,320,215878,197,0
20260105,321,222397,197,0
20260105,322,214521,196,0
20260105,323,221243,196,0
20260105,324,211846,194,0
20260105,325,215386,194,0
20260105,326,215726,193,0
20260105,327,222675,191,0
20260105,328,220735,190,0
20260105,329,211342,190,0
20260105,330,256673,189,0
20260105,331,231639,188,0
20260105,332,259857,188,0
20260105,333,201555,187,0
20260105,334,221885,187,0
20260105,335,214919,187,0
20260105,336,203435,186,0
20260105,337,215290,186,0
20260105,338,256705,186,0
20260105,339,222944,186,0
20260105,340,203281,183,0
20260105,341,221014,183,0
20260105,342,259871,183,0
20260105,343,221220,182,0
20260105,344,221434,181,0
20260105,345,264075,180,0
20260105,346,215077,179,0
20260105,347,239397,177,0
20260105,348,215259,177,0
20260105,349,214301,177,0
20260105,350,262891,176,0
20260105,351,210705,175,0
20260105,352,223410,174,0
20260105,353,210847,174,0
20260105,354,235159,174,0
20260105,355,201666,174,0
20260105,356,214930,174,0
20260105,357,202688,173,0
